,ANESTESISTA,PROCEDIMENTO,DURACAO_ANESTESIA
224,Sarah Rich,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),45.0
225,Sarah Rich,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,44.78333333333333
226,Sarah Rich,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,43.5
227,Sarah Rich,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,61.0
228,Sarah Rich,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,39.2
229,Tara Perry,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,54.41666666666666
230,Teresa Martin,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,60.0
231,Teresa Martin,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,40.0
232,Teresa Martin,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,35.0
233,Teresa Martin,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,1425.5
234,Teresa Martin,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,35.0
235,Teresa Martin,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE DO FÊMUR,50.0
